INPUT,/kɑt̪ubut̪ɑs/,/riːmiːt̪i/,/riːmiːt̪/,/let̪ɑs/,/t̪ent̪/,/t̪omet̪ent̪/,/t̪oent̪ent̪/,/wenikɑros/,/wiroɡɑlɑ/,/esoʔkenet̪lɑn/,/esɑsʔkenet̪lɑn/,/esɑnʔkenet̪lɑn/,/esoʔsuːlis/,/esɑsʔsuːlis/,/t̪oriːmo/,/niːsʔt̪oriːmiːt̪/,/ɡoni/,/klut̪ɑn/,/bit̪oːs/,/mroɡis/,/moniklɑs/,/esoʔɡoni/,/esɑnʔɡoni/,/sesɑnʔsuːliːs/,/esoʔlet̪ɑs/,/nemos/,/dubnowɑlos/,/kɑmbos/,/ɑdmentos/,/ɑmsterɑː/,/ɑmɑrom/,/ɑmɸlɑbros/,/beismɑn/,/kɑnxsmɑn/,/klɑmos/,/knɑːmis/,/komɸroɑnkom/,/kurmi/
R12,*/kˈɑθuβuθɑ/,,*/rːˈiːmiː/,*/lːˈeθɑ/,,,,*/fˈenixɑro/,,*/ˈeχoxˈenet̪lːɑ/,*/ˈeχɑχkˈenet̪lːɑ/,*/ˈeχɑnːkˈenet̪lːɑ/,*/ˈeχoχˈuːli/,*/ˈeχɑχsˈuːli/,,*/nːˈiːχt̪ˈoriːmiː/,,*/klːˈuθɑ/,*/bˈiθoː/,*/mːrːˈoɣi/,*/mːˈoniklːɑ/,,,*/sˈeχɑnːsˈuːliː/,*/ˈeχolˈeθɑ/,*/nːˈemo/,*/dˈubnːohɑlo/,*/kˈɑmːbo/,*/ˈɑdmːenːto/,,*/ˈɑmɑro/,*/ˈɑmːlːɑbrːo/,*/bˈeiχmːɑ/,*/kˈɑnːxsmːɑ/,*/klːˈɑmo/,*/knːˈɑːmi/,*/kˈomːrːɑnːko/,
R13,,,,,,,,,,*/ˈɑχoxˈenet̪lːɑ/,*/ˈɑχɑχkˈenet̪lːɑ/,*/ˈɑχɑnːkˈenet̪lːɑ/,*/ˈɑχoχˈuːli/,*/ˈɑχɑχsˈuːli/,,,,,,,,*/ˈɑχoɣˈoni/,*/ˈɑχɑnːɡˈoni/,*/sˈɑχɑnːsˈuːliː/,*/ˈɑχolˈeθɑ/,,,,,,,,,,,,,
R14,,*/rːʲˈiːmʲiːθʲi/,*/rːʲˈiːmʲiː/,*/lːʲˈeθɑ/,*/t̪ʲˈenːt̪/,*/t̪ˈomʲeθʲenːt̪/,*/t̪ʲˈenːt̪ʲenːt̪/,*/fʲˈenʲixɑro/,*/fʲˈiroɣɑlɑ/,*/ˈɑχoxʲˈenʲet̪lːɑ/,*/ˈɑχɑχkʲˈenʲet̪lːɑ/,*/ˈɑχɑnːkʲˈenʲet̪lːɑ/,*/ˈɑχoχˈuːlʲi/,*/ˈɑχɑχsˈuːlʲi/,*/t̪ˈorʲiːmo/,*/nːʲˈiːχt̪ˈorʲiːmʲiː/,*/ɡˈonʲi/,,*/bʲˈiθoː/,*/mːrːˈoɣʲi/,*/mːˈonʲiklːɑ/,*/ˈɑχoɣˈonʲi/,*/ˈɑχɑnːɡˈonʲi/,*/sˈɑχɑnːsˈuːlʲiː/,*/ˈɑχolʲˈeθɑ/,*/nːʲˈemo/,,,*/ˈɑdmʲːenːto/,*/ˈɑmːstʲerɑː/,,,*/bʲˈeiχmːɑ/,,,*/knːˈɑːmʲi/,,*/kˈurːmʲːi/
R15,,,,,,,,*/fʲˈinʲixɑro/,,,,,*/ˈɑχuχˈuːlʲi/,,*/t̪ˈurʲiːmo/,*/nːʲˈiːχt̪ˈurʲiːmʲiː/,*/ɡˈunʲi/,,,*/mːrːˈuɣʲi/,*/mːˈunʲiklːɑ/,*/ˈɑχoɣˈunʲi/,*/ˈɑχɑnːɡˈunʲi/,,,,,,,,,,*/bʲˈiiχmːɑ/,,,,,
R16,*/kˈɑθuβoθɑ/,,,,,,,*/fʲˈinʲexɑro/,*/fʲˈeroɣɑlɑ/,,,,,,*/t̪ˈurʲeːmo/,,,*/klːˈoθɑ/,*/bʲˈeθoː/,,*/mːˈunʲeklːɑ/,,,,,,*/dˈobnːohɑlo/,,,,,,*/bʲˈieχmːɑ/,,,,,
R17,*/kˈɑθuβˌoθɑ/,,,,,*/t̪ˈomʲeθʲˌenːt̪/,,*/fʲˈinʲexˌɑro/,*/fʲˈeroɣˌɑlɑ/,,,,,,,,,,,,,,,,,,*/dˈobnːohˌɑlo/,,,,,,,,,,,
R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R19,,,,,,,,,,*/ˈɑχoxʲˈenʲˌet̪lːɑ/,*/ˈɑχɑχkʲˈenʲˌet̪lːɑ/,*/ˈɑχɑnːkʲˈenʲˌet̪lːɑ/,,,,,,,,,*/mːˈunʲˌeklːɑ/,,,,,,,,*/ˈɑdmʲːˌenːto/,,,*/ˈɑmːlːˌɑbrːo/,*/bʲˈiˌeχmːɑ/,,,,*/kˈomːrːˌɑnːko/,
=Stressed-Irish,null*/kˈɑθuβˌoθɑ/,null*/rːʲˈiːmʲiːθʲi/,null*/rːʲˈiːmʲiː/,null*/lːʲˈeθɑ/,null*/t̪ʲˈenːt̪/,null*/t̪ˈomʲeθʲˌenːt̪/,null*/t̪ʲˈenːt̪ʲenːt̪/,null*/fʲˈinʲexˌɑro/,null*/fʲˈeroɣˌɑlɑ/,null*/ˈɑχoxʲˈenʲˌet̪lːɑ/,null*/ˈɑχɑχkʲˈenʲˌet̪lːɑ/,null*/ˈɑχɑnːkʲˈenʲˌet̪lːɑ/,null*/ˈɑχuχˈuːlʲi/,null*/ˈɑχɑχsˈuːlʲi/,null*/t̪ˈurʲeːmo/,null*/nːʲˈiːχt̪ˈurʲiːmʲiː/,null*/ɡˈunʲi/,null*/klːˈoθɑ/,null*/bʲˈeθoː/,null*/mːrːˈuɣʲi/,null*/mːˈunʲˌeklːɑ/,null*/ˈɑχoɣˈunʲi/,null*/ˈɑχɑnːɡˈunʲi/,null*/sˈɑχɑnːsˈuːlʲiː/,null*/ˈɑχolʲˈeθɑ/,null*/nːʲˈemo/,null*/dˈobnːohˌɑlo/,null*/kˈɑmːbo/,null*/ˈɑdmʲːˌenːto/,null*/ˈɑmːstʲerɑː/,null*/ˈɑmɑro/,null*/ˈɑmːlːˌɑbrːo/,null*/bʲˈiˌeχmːɑ/,null*/kˈɑnːxsmːɑ/,null*/klːˈɑmo/,null*/knːˈɑːmʲi/,null*/kˈomːrːˌɑnːko/,null*/kˈurːmʲːi/
R20,,,,,,,*/t̪ʲˈenːt̪ʲˌenːt̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R22,*/kˈɑθuβˌɑθɑ/,,,,,,,,,,,,,,*/t̪ˈurʲeːmɑ/,,,,,,,,,,,*/nːʲˈemɑ/,,*/kˈɑmːbɑ/,,,,,,,*/klːˈɑmɑ/,,,
R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R24,,,,,,,,,,,,,,,,,,,,,,,,*/sˈɑχɑsːˈuːlʲiː/,,,,,,,,,,,,,,
R25,,,,,*/t̪ʲˈenːd̪/,*/t̪ˈomʲeθʲˌenːd̪/,*/t̪ʲˈenːt̪ʲˌenːd̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26,,,,,,,*/t̪ʲˈenːd̪ʲˌenːd̪/,,,*/ˈɑχoxʲˈenʲˌed̪lːɑ/,*/ˈɑχɑχkʲˈenʲˌed̪lːɑ/,*/ˈɑχɑnːɡʲˈenʲˌed̪lːɑ/,,,,,,,,,*/mːˈunʲˌeɡlːɑ/,,,,,,,,*/ˈɑdmʲːˌenːdo/,,,,,,,,*/kˈomːrːˌɑnːɡo/,
R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R28,,,,,,,*/t̪ʲˈehd̪ʲˌenːd̪/,,,,,,,,,,,,,,,,,,,,,*/kˈɑhbɑ/,*/ˈɑdmʲːˌehdo/,*/ˈɑhstʲerɑː/,,*/ˈɑhlːˌɑbrːo/,,*/kˈɑhxsmːɑ/,,,*/kˈohrːˌɑhɡo/,
R29,,,,,*/t̪ʲˈehd̪/,*/t̪ˈomʲeθʲˌehd̪/,*/t̪ʲˈehd̪ʲˌehd̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R30,,,,,,,,,,*/ˈɑχoxʲˈenʲˌehlːɑ/,*/ˈɑχɑχkʲˈenʲˌehlːɑ/,*/ˈɑχɑnːɡʲˈenʲˌehlːɑ/,,,,,,,,,*/mːˈunʲˌehlːɑ/,,,,,,*/dˈohnːohˌɑlo/,,*/ˈɑhmʲːˌehdo/,,,*/ˈɑhlːˌɑhrːo/,,,,,,
R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
