INPUT,/moriːnɑ/,/morinɑ/,/morenɑ/,/sɑbrinɑ/,/kɑt̪umɑnd̪us/,/wind̪oseibɑris/,/d̪eːwoɡnɑːt̪ɑ/,/ɡnɑːt̪ɑ/,/nemɑ/,/kɑrt̪imɑndwɑ/,/kʷekjɑ/,/mɑːt̪ronɑ/,/boud̪iːkɑ/,/kʷennowind̪ɑ/,/kunokʷennɑ/,/luɡuselwɑ/,/worɡellɑ/,/briɡɑnt̪iː/,/ɑbesiɑ/,/ɑd̪eɡiɑ/,/ɑjjusɑ/,/ɑjnikt̪ɑ/,/ɑlɑukɑ/,/ɑnd̪ikɑwɑ/,/ɑrd̪ɑ/,/ɑrikɑ/,/ɑd̪t̪est̪sɑ/,/ɑtiɑ/,/ɑːt̪ilɑ/,/ɑwɑwkiɑ/,/bɑnoːnɑ/,/bɑrrɑ/,/belɑ/,/bit̪liɑ/,/boːd̪iɑːkɑ/,/breɡissɑ/,/nːʲe/
R10,*/mːˈoriːnɑ/,*/mːˈorinɑ/,*/mːˈorenɑ/,*/sˈɑbrːinɑ/,,*/fˈinːd̪oseiβɑris/,,,,,,*/mːˈɑːt̪rːonɑ/,,,*/kˈunoxʷenːnːɑ/,,,,,,,,*/ˈɑlɑuxɑ/,,,*/ˈɑrixɑ/,,,*/ˈɑːθilɑ/,,*/bˈɑnoːnɑ/,,*/bˈelɑ/,,,,
R11,,,,,*/kˈɑθumɑnːd̪uχ/,*/fˈinːd̪oχeiβɑriχ/,*/d̪ˈeːhoɡnːɑːθɑ/,,,,,,,*/kʷˈenːnːohinːd̪ɑ/,,*/lːˈuɣuχelːfɑ/,,,*/ˈɑβeχiɑ/,,*/ˈɑjjuχɑ/,,,*/ˈɑnːd̪ixɑhɑ/,,,*/ˈɑd̪t̪eχt̪sɑ/,,,*/ˈɑhɑwxiɑ/,,,,,,*/brːˈeɣiχsɑ/,
R12,,,,,*/kˈɑθumɑnːd̪u/,*/fˈinːd̪oχeiβɑri/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R13,,,,,,,,,,,,,,,,,,,*/ˈɑβɑχiɑ/,*/ˈɑðɑɣiɑ/,,,,,,,*/ˈɑd̪t̪ɑχt̪sɑ/,,,,,,,,,*/brːˈɑɣiχsɑ/,
R14,*/mːˈorʲiːnɑ/,*/mːˈorʲinɑ/,*/mːˈorʲenɑ/,*/sˈɑbrʲːinɑ/,,*/fʲˈinːd̪oɕˠeiβɑrʲi/,*/d̪ʲˈeːhoɡnːɑːθɑ/,,*/nːʲˈemɑ/,*/kˈɑrːt̪ʲimɑnːdfɑ/,*/kʲʷˈekʲjɑ/,,*/bˈuðʲiːxɑ/,*/kʲʷˈenːnːohinːd̪ɑ/,*/kˈunoçʷenːnːɑ/,*/lːˈuɣuɕˠelːfɑ/,*/fˈorːɡʲelːlːɑ/,*/brʲːˈiɣɑnːt̪ʲiː/,*/ˈɑβɑɕˠiɑ/,*/ˈɑðɑɣʲiɑ/,,*/ˈɑjnːʲikt̪ɑ/,,*/ˈɑnːd̪ʲixɑhɑ/,,*/ˈɑrʲixɑ/,,*/ˈɑ?iɑ/,*/ˈɑːθʲilɑ/,*/ˈɑhɑwxʲiɑ/,,,*/bʲˈelɑ/,*/bʲˈit̪rʲːˡiɑ/,*/bˈoːðʲiɑːxɑ/,*/brːˈɑɣʲiχsɑ/,
R15,*/mːˈurʲiːnɑ/,*/mːˈurʲinɑ/,,,,*/fʲˈinːd̪oɕˠiiβɑrʲi/,,,,,,,,*/kʲʷˈenːnːuhinːd̪ɑ/,,,,,,,,,,,,,,,,,,,,,*/bˈuːðʲiɑːxɑ/,,
R16,*/mːˈurʲeːnɑ/,*/mːˈurʲenɑ/,,*/sˈɑbrʲːenɑ/,*/kˈɑθomɑnːd̪u/,*/fʲˈenːd̪oɕˠieβɑrʲi/,,,,*/kˈɑrːt̪ʲemɑnːdfɑ/,,,*/bˈuðʲeːxɑ/,*/kʲʷˈenːnːuhenːd̪ɑ/,*/kˈonoçʷenːnːɑ/,,,*/brʲːˈeɣɑnːt̪ʲiː/,*/ˈɑβɑɕˠeɑ/,*/ˈɑðɑɣʲeɑ/,*/ˈɑjjoχɑ/,*/ˈɑjnːʲekt̪ɑ/,*/ˈɑlɑoxɑ/,*/ˈɑnːd̪ʲexɑhɑ/,,*/ˈɑrʲexɑ/,,*/ˈɑ?eɑ/,*/ˈɑːθʲelɑ/,*/ˈɑhɑwxʲeɑ/,,,,*/bʲˈit̪rʲːˡeɑ/,*/bˈuːðʲeɑːxɑ/,*/brːˈɑɣʲeχsɑ/,
R17,,,,,*/kˈɑθomˌɑnːd̪u/,*/fʲˈenːd̪oɕˠˌieβɑrʲi/,*/d̪ʲˈeːhoɡnːˌɑːθɑ/,,,*/kˈɑrːt̪ʲemˌɑnːdfɑ/,,,,*/kʲʷˈenːnːuhˌenːd̪ɑ/,*/kˈonoçʷˌenːnːɑ/,*/lːˈuɣuɕˠˌelːfɑ/,,,*/ˈɑβɑɕˠˌeɑ/,*/ˈɑðɑɣʲˌeɑ/,,,*/ˈɑlɑˌoxɑ/,*/ˈɑnːd̪ʲexˌɑhɑ/,,,,,,*/ˈɑhɑwxʲˌeɑ/,,,,,*/bˈuːðʲeˌɑːxɑ/,,
R18,,,,,,*/fʲˈenːd̪oɕˠˌieβˌɑrʲi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R19,,,,,,,,,,,,,,,,,*/fˈorːɡʲˌelːlːɑ/,*/brʲːˈeɣˌɑnːt̪ʲiː/,,,,*/ˈɑjnːʲˌekt̪ɑ/,,,,,*/ˈɑd̪t̪ˌɑχt̪sɑ/,,,,,,,,,*/brːˈɑɣʲˌeχsɑ/,
